section,date,entry_time,exit_time,symbol,side,setup,pnl_rr,exit_reason,bars_held,quality
spencer_both,2025-11-17,2025-11-17 12:25,2025-11-17 12:40,XBI,LONG,SPENCER,-1.3685,stop,3,5
spencer_both,2025-11-17,2025-11-17 14:15,2025-11-17 15:15,LCID,SHORT,SPENCER,-0.2894,ema9trail,12,4
spencer_both,2025-11-24,2025-11-24 14:20,2025-11-24 14:30,MELI,LONG,SPENCER,-0.5862,ema9trail,2,4
spencer_both,2025-11-25,2025-11-25 14:15,2025-11-25 15:40,NU,LONG,SPENCER,+1.1488,ema9trail,17,4
spencer_both,2025-11-26,2025-11-26 13:00,2025-11-26 13:05,JNUG,LONG,SPENCER,-1.2394,stop,1,4
spencer_both,2025-12-01,2025-12-01 12:55,2025-12-01 13:35,RIVN,LONG,SPENCER,+0.2273,ema9trail,8,4
spencer_both,2025-12-09,2025-12-09 11:45,2025-12-09 12:30,LUNR,LONG,SPENCER,-0.5581,ema9trail,9,4
spencer_both,2025-12-19,2025-12-19 12:25,2025-12-19 13:00,NUGT,LONG,SPENCER,-0.3738,ema9trail,7,4
spencer_both,2025-12-23,2025-12-23 13:00,2025-12-23 13:55,XOM,LONG,SPENCER,-0.3894,ema9trail,11,4
spencer_both,2026-01-07,2026-01-07 12:40,2026-01-07 13:05,WEBL,LONG,SPENCER,-0.7125,ema9trail,5,4
spencer_both,2026-01-15,2026-01-15 12:25,2026-01-15 12:40,SOFI,LONG,SPENCER,-0.6774,ema9trail,3,4
spencer_both,2026-01-26,2026-01-26 12:20,2026-01-26 12:50,WEBL,LONG,SPENCER,-0.7799,ema9trail,6,4
spencer_both,2026-01-27,2026-01-27 13:50,2026-01-27 14:05,MSFT,LONG,SPENCER,-0.9186,ema9trail,3,4
spencer_both,2026-01-30,2026-01-30 12:05,2026-01-30 12:25,IONQ,SHORT,SPENCER,-0.5449,ema9trail,4,4
spencer_both,2026-02-04,2026-02-04 11:40,2026-02-04 12:55,SMH,SHORT,SPENCER,+0.4220,ema9trail,15,4
spencer_both,2026-02-12,2026-02-12 11:25,2026-02-12 12:20,SMCI,SHORT,SPENCER,-0.4777,ema9trail,11,4
spencer_both,2026-02-13,2026-02-13 14:00,2026-02-13 14:20,TGT,LONG,SPENCER,-1.7132,stop,4,4
spencer_both,2026-02-19,2026-02-19 12:20,2026-02-19 12:30,LABD,SHORT,SPENCER,-0.5889,ema9trail,2,4
